"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18614888,"2018-06-18 21:39:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","9200 VERMONT AVE, LOS ANGELES, CA","9200 VERMONT AVE","LOS ANGELES",,"918-04760-0370","0370","04760","CA0190003","SOUTH LOS ANGELES","N"
18614859,"2018-06-18 22:00:00","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","1600 S SYDNEY DR, COMMERCE, CA 90040","1600 S SYDNEY DR","COMMERCE","90040","918-09220-0241","0241","09220","CA0190002","EAST LOS ANGELES","N"
18614896,"2018-06-18 22:11:30","LARCENY THEFT","383","THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)","200 W VICTORIA ST, CARSON, CA","200 W VICTORIA ST","CARSON",,"918-06360-1610","1610","06360","CA0190016","CARSON","N"
18614630,"2018-06-18 22:30:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","1600 OCASO AVE, LA MIRADA, CA 90638","1600 OCASO AVE","LA MIRADA","90638","918-09349-0470","0470","09349","CA0190004","NORWALK","N"
18614768,"2018-06-18 23:00:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","200 SIERRA CT, PALMDALE, CA","200 SIERRA CT","PALMDALE",,"918-08958-2619","2619","08958","CA01900W9","PALMDALE","N"
18616139,"2018-06-18 23:00:00","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","19200 WALNUT DR N, ROWLAND HEIGHTS, CA 91748","19200 WALNUT DR N","ROWLAND HEIGHTS","91748","918-03922-2934","2934","03922","CA0190020","WALNUT","N"
18615789,"2018-06-18 23:35:00","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","29300 LAS TERRENO DR, SAUGUS, CA","29300 LAS TERRENO DR","SAUGUS",,"918-08558-0673","0673","08558","CA0190006","SANTA CLARITA VALLEY","N"
18613556,"2018-06-18 23:46:00","LARCENY THEFT","085","GRAND THEFT: Auto Parts And Accessories","2900 N SANTA FE AVE, COMPTON, CA","2900 N SANTA FE AVE","COMPTON",,"918-08553-2820","2820","08553","CA0190042","COMPTON","N"
18614656,"2018-06-18 23:55:00","LARCENY THEFT","385","THEFT, PETTY: Auto Parts And Accessories","11500 LONG BEACH BLVD, LYNWOOD, CA 90262","11500 LONG BEACH BLVD","LYNWOOD","90262","918-08942-2111","2111","08942","CA01900V3","CENTURY","N"
18618813,"2018-06-18 23:59:30","LARCENY THEFT","089","GRAND THEFT: Other (From Boat, Plane, Prvt Res, Yard, Etc)","3800 MARTIN LUTHER KING JR BLVD, LYNWOOD, CA 90262","3800 MARTIN LUTHER KING JR BLVD","LYNWOOD","90262","918-09156-2112","2112","09156","CA01900V3","CENTURY","N"
