,RegionName,State,CountyName,2018-05,Unnamed: 0_x,Price level_x,Rating_x,Latitude_x,Longitude_x,House Price Ranking,Unnamed: 0_y,Price level_y,Rating_y,Latitude_y,Longitude_y
57,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,56.0,2.0,4.5,34.0828183,-118.32415859999999
58,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,57.0,2.0,4.3,34.083804,-118.273852
59,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,59.0,2.0,4.4,34.100516999999996,-118.32927
60,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,68.0,,4.0,34.0516025,-118.2550754
61,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,70.0,,4.7,33.9888277,-118.3340017
62,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,71.0,2.0,4.5,34.077119200000006,-118.2587199
63,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,72.0,2.0,4.6,34.118765,-118.179128
64,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,74.0,2.0,4.3,34.083804,-118.273852
65,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,78.0,2.0,4.5,34.0828183,-118.32415859999999
66,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,85.0,,4.7,33.9888277,-118.3340017
67,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,89.0,2.0,4.6,34.0427223,-118.2529723
68,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,90.0,2.0,4.6,34.047626,-118.32761399999998
69,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,91.0,,4.0,34.0516025,-118.2550754
70,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,94.0,2.0,4.5,34.077119200000006,-118.2587199
71,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,96.0,2.0,4.5,34.0828183,-118.32415859999999
72,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,97.0,2.0,4.3,34.083804,-118.273852
73,Los Angeles,CA,Los Angeles,714700,11.0,2.0,4.6,34.047626,-118.32761399999998,Mid,99.0,2.0,4.4,34.100516999999996,-118.32927
74,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,7.0,,4.7,33.9888277,-118.3340017
75,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,11.0,2.0,4.6,34.047626,-118.32761399999998
76,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,12.0,,4.0,34.0516025,-118.2550754
77,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,15.0,2.0,4.5,34.077119200000006,-118.2587199
78,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,16.0,2.0,4.5,34.0828183,-118.32415859999999
79,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,17.0,2.0,4.3,34.083804,-118.273852
80,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,18.0,2.0,4.5,34.078587299999995,-118.3764199
81,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,26.0,,4.7,33.9888277,-118.3340017
82,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,30.0,,4.0,34.0516025,-118.2550754
83,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,31.0,2.0,4.5,34.077119200000006,-118.2587199
84,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,33.0,2.0,4.5,34.0828183,-118.32415859999999
85,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,34.0,2.0,4.3,34.083804,-118.273852
86,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,36.0,2.0,4.5,34.078587299999995,-118.3764199
87,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,37.0,,4.5,34.0822255,-118.3768009
88,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,39.0,2.0,4.4,34.100516999999996,-118.32927
89,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,45.0,,4.7,33.9888277,-118.3340017
90,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,49.0,2.0,4.6,34.0427223,-118.2529723
91,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,50.0,2.0,4.6,34.047626,-118.32761399999998
92,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,51.0,,4.0,34.0516025,-118.2550754
93,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,54.0,2.0,4.5,34.077119200000006,-118.2587199
94,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,56.0,2.0,4.5,34.0828183,-118.32415859999999
95,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,57.0,2.0,4.3,34.083804,-118.273852
96,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,59.0,2.0,4.4,34.100516999999996,-118.32927
97,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,68.0,,4.0,34.0516025,-118.2550754
98,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,70.0,,4.7,33.9888277,-118.3340017
99,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,71.0,2.0,4.5,34.077119200000006,-118.2587199
100,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,72.0,2.0,4.6,34.118765,-118.179128
101,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,74.0,2.0,4.3,34.083804,-118.273852
102,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,78.0,2.0,4.5,34.0828183,-118.32415859999999
103,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,85.0,,4.7,33.9888277,-118.3340017
104,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,89.0,2.0,4.6,34.0427223,-118.2529723
105,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,90.0,2.0,4.6,34.047626,-118.32761399999998
106,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,91.0,,4.0,34.0516025,-118.2550754
107,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,94.0,2.0,4.5,34.077119200000006,-118.2587199
108,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,96.0,2.0,4.5,34.0828183,-118.32415859999999
109,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,97.0,2.0,4.3,34.083804,-118.273852
110,Los Angeles,CA,Los Angeles,714700,12.0,,4.0,34.0516025,-118.2550754,Mid,99.0,2.0,4.4,34.100516999999996,-118.32927
111,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,7.0,,4.7,33.9888277,-118.3340017
112,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,11.0,2.0,4.6,34.047626,-118.32761399999998
113,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,12.0,,4.0,34.0516025,-118.2550754
114,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,15.0,2.0,4.5,34.077119200000006,-118.2587199
115,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,16.0,2.0,4.5,34.0828183,-118.32415859999999
116,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,17.0,2.0,4.3,34.083804,-118.273852
117,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,18.0,2.0,4.5,34.078587299999995,-118.3764199
118,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,26.0,,4.7,33.9888277,-118.3340017
119,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,30.0,,4.0,34.0516025,-118.2550754
120,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,31.0,2.0,4.5,34.077119200000006,-118.2587199
121,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,33.0,2.0,4.5,34.0828183,-118.32415859999999
122,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,34.0,2.0,4.3,34.083804,-118.273852
123,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,36.0,2.0,4.5,34.078587299999995,-118.3764199
124,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,37.0,,4.5,34.0822255,-118.3768009
