,RegionName,State,CountyName,2018-05,zip_code,latitude,longitude
127,Pasadena,CA,Los Angeles,921500,90255,33.977987,-118.21313700000002
128,Pasadena,CA,Los Angeles,921500,90260,33.786594,-118.29866200000001
129,Pasadena,CA,Los Angeles,921500,90261,33.786594,-118.29866200000001
130,Pasadena,CA,Los Angeles,921500,90262,33.924538,-118.202954
131,Pasadena,CA,Los Angeles,921500,90263,33.786594,-118.29866200000001
132,Pasadena,CA,Los Angeles,921500,90264,33.786594,-118.29866200000001
133,Pasadena,CA,Los Angeles,921500,90265,33.786594,-118.29866200000001
134,Pasadena,CA,Los Angeles,921500,90266,33.786594,-118.29866200000001
135,Pasadena,CA,Los Angeles,921500,90267,33.786594,-118.29866200000001
136,Pasadena,CA,Los Angeles,921500,90270,33.988463,-118.187376
137,Pasadena,CA,Los Angeles,921500,90272,33.786594,-118.29866200000001
138,Pasadena,CA,Los Angeles,921500,90274,33.786594,-118.29866200000001
139,Pasadena,CA,Los Angeles,921500,90275,33.786594,-118.29866200000001
140,Pasadena,CA,Los Angeles,921500,90277,33.786594,-118.29866200000001
141,Pasadena,CA,Los Angeles,921500,90278,33.987613,-118.179754
142,Pasadena,CA,Los Angeles,921500,90280,33.937714,-118.193403
143,Pasadena,CA,Los Angeles,921500,90290,33.786594,-118.29866200000001
144,Pasadena,CA,Los Angeles,921500,90291,33.786594,-118.29866200000001
145,Pasadena,CA,Los Angeles,921500,90292,33.786594,-118.29866200000001
146,Pasadena,CA,Los Angeles,921500,90293,33.786594,-118.29866200000001
147,Pasadena,CA,Los Angeles,921500,90294,33.786594,-118.29866200000001
148,Pasadena,CA,Los Angeles,921500,90295,33.786594,-118.29866200000001
149,Pasadena,CA,Los Angeles,921500,90296,33.786594,-118.29866200000001
150,Pasadena,CA,Los Angeles,921500,90301,33.786594,-118.29866200000001
151,Pasadena,CA,Los Angeles,921500,90302,33.786594,-118.29866200000001
152,Pasadena,CA,Los Angeles,921500,90303,33.786594,-118.29866200000001
153,Pasadena,CA,Los Angeles,921500,90304,33.786594,-118.29866200000001
154,Pasadena,CA,Los Angeles,921500,90305,33.786594,-118.29866200000001
155,Pasadena,CA,Los Angeles,921500,90306,33.786594,-118.29866200000001
156,Pasadena,CA,Los Angeles,921500,90307,33.786594,-118.29866200000001
157,Pasadena,CA,Los Angeles,921500,90308,33.786594,-118.29866200000001
158,Pasadena,CA,Los Angeles,921500,90309,33.786594,-118.29866200000001
159,Pasadena,CA,Los Angeles,921500,90310,33.786594,-118.29866200000001
160,Pasadena,CA,Los Angeles,921500,90311,33.786594,-118.29866200000001
161,Pasadena,CA,Los Angeles,921500,90312,33.786594,-118.29866200000001
162,Pasadena,CA,Los Angeles,921500,90313,33.786594,-118.29866200000001
163,Pasadena,CA,Los Angeles,921500,90397,33.786594,-118.29866200000001
164,Pasadena,CA,Los Angeles,921500,90398,33.786594,-118.29866200000001
165,Pasadena,CA,Los Angeles,921500,90401,33.786594,-118.29866200000001
166,Pasadena,CA,Los Angeles,921500,90402,33.786594,-118.29866200000001
167,Pasadena,CA,Los Angeles,921500,90403,33.786594,-118.29866200000001
168,Pasadena,CA,Los Angeles,921500,90404,33.786594,-118.29866200000001
169,Pasadena,CA,Los Angeles,921500,90405,33.786594,-118.29866200000001
170,Pasadena,CA,Los Angeles,921500,90406,33.786594,-118.29866200000001
171,Pasadena,CA,Los Angeles,921500,90407,33.786594,-118.29866200000001
172,Pasadena,CA,Los Angeles,921500,90408,33.786594,-118.29866200000001
173,Pasadena,CA,Los Angeles,921500,90409,33.786594,-118.29866200000001
174,Pasadena,CA,Los Angeles,921500,90410,33.786594,-118.29866200000001
175,Pasadena,CA,Los Angeles,921500,90411,33.786594,-118.29866200000001
176,Pasadena,CA,Los Angeles,921500,90501,33.835665000000006,-118.30380500000001
177,Pasadena,CA,Los Angeles,921500,90502,33.833816,-118.293405
178,Pasadena,CA,Los Angeles,921500,90503,33.786594,-118.29866200000001
179,Pasadena,CA,Los Angeles,921500,90504,33.786594,-118.29866200000001
180,Pasadena,CA,Los Angeles,921500,90505,33.786594,-118.29866200000001
181,Pasadena,CA,Los Angeles,921500,90506,33.786594,-118.29866200000001
182,Pasadena,CA,Los Angeles,921500,90507,33.786594,-118.29866200000001
183,Pasadena,CA,Los Angeles,921500,90508,33.786594,-118.29866200000001
184,Pasadena,CA,Los Angeles,921500,90509,33.786594,-118.29866200000001
185,Pasadena,CA,Los Angeles,921500,90510,33.786594,-118.29866200000001
186,Pasadena,CA,Los Angeles,921500,90601,34.004311,-118.0441
187,Pasadena,CA,Los Angeles,921500,90602,33.971839,-118.036578
188,Pasadena,CA,Los Angeles,921500,90603,33.947371999999994,-117.995297
189,Pasadena,CA,Los Angeles,921500,90604,33.932663,-118.00908500000001
190,Pasadena,CA,Los Angeles,921500,90605,33.944312,-118.017424
191,Pasadena,CA,Los Angeles,921500,90606,33.967162,-118.036999
192,Pasadena,CA,Los Angeles,921500,90607,33.786594,-118.29866200000001
193,Pasadena,CA,Los Angeles,921500,90608,33.786594,-118.29866200000001
194,Pasadena,CA,Los Angeles,921500,90609,33.786594,-118.29866200000001
195,Pasadena,CA,Los Angeles,921500,90610,33.786594,-118.29866200000001
196,Pasadena,CA,Los Angeles,921500,90612,33.786594,-118.29866200000001
197,Pasadena,CA,Los Angeles,921500,90637,33.786594,-118.29866200000001
198,Pasadena,CA,Los Angeles,921500,90638,33.900863,-118.007297
199,Pasadena,CA,Los Angeles,921500,90639,33.905813,-118.018247
200,Pasadena,CA,Los Angeles,921500,90640,33.786594,-118.29866200000001
201,Pasadena,CA,Los Angeles,921500,90650,33.906763,-118.076549
202,Pasadena,CA,Los Angeles,921500,90651,33.786594,-118.29866200000001
203,Pasadena,CA,Los Angeles,921500,90652,33.786594,-118.29866200000001
204,Pasadena,CA,Los Angeles,921500,90659,33.786594,-118.29866200000001
205,Pasadena,CA,Los Angeles,921500,90660,33.985812,-118.08878700000001
206,Pasadena,CA,Los Angeles,921500,90661,33.786594,-118.29866200000001
207,Pasadena,CA,Los Angeles,921500,90662,33.786594,-118.29866200000001
208,Pasadena,CA,Los Angeles,921500,90665,33.786594,-118.29866200000001
209,Pasadena,CA,Los Angeles,921500,90670,33.927063000000004,-118.063698
210,Pasadena,CA,Los Angeles,921500,90671,33.786594,-118.29866200000001
211,Pasadena,CA,Los Angeles,921500,90701,33.865395,-118.073148
212,Pasadena,CA,Los Angeles,921500,90702,33.786594,-118.29866200000001
213,Pasadena,CA,Los Angeles,921500,90703,33.866914,-118.068648
214,Pasadena,CA,Los Angeles,921500,90704,33.786594,-118.29866200000001
215,Pasadena,CA,Los Angeles,921500,90706,33.888014,-118.12965
216,Pasadena,CA,Los Angeles,921500,90707,33.786594,-118.29866200000001
217,Pasadena,CA,Los Angeles,921500,90710,33.791267,-118.251554
218,Pasadena,CA,Los Angeles,921500,90711,33.786594,-118.29866200000001
219,Pasadena,CA,Los Angeles,921500,90712,33.845624,-118.14645
220,Pasadena,CA,Los Angeles,921500,90713,33.850465,-118.109399
221,Pasadena,CA,Los Angeles,921500,90714,33.851215,-118.1339
222,Pasadena,CA,Los Angeles,921500,90715,33.840565000000005,-118.078748
223,Pasadena,CA,Los Angeles,921500,90716,33.830967,-118.072796
224,Pasadena,CA,Los Angeles,921500,90717,33.786594,-118.29866200000001
225,Pasadena,CA,Los Angeles,921500,90723,33.899015000000006,-118.165152
226,Pasadena,CA,Los Angeles,921500,90731,33.753088,-118.25305300000001
227,Pasadena,CA,Los Angeles,921500,90732,33.786594,-118.29866200000001
228,Pasadena,CA,Los Angeles,921500,90733,33.786594,-118.29866200000001
229,Pasadena,CA,Los Angeles,921500,90734,33.786594,-118.29866200000001
230,Pasadena,CA,Los Angeles,921500,90744,33.779416999999995,-118.253853
231,Pasadena,CA,Los Angeles,921500,90745,33.813317,-118.261154
232,Pasadena,CA,Los Angeles,921500,90746,33.859716,-118.255204
233,Pasadena,CA,Los Angeles,921500,90747,33.867138,-118.253825
234,Pasadena,CA,Los Angeles,921500,90748,33.786594,-118.29866200000001
235,Pasadena,CA,Los Angeles,921500,90749,33.786594,-118.29866200000001
236,Pasadena,CA,Los Angeles,921500,90801,33.804309,-118.200957
237,Pasadena,CA,Los Angeles,921500,90802,33.756024,-118.201101
238,Pasadena,CA,Los Angeles,921500,90803,33.759885,-118.13016
239,Pasadena,CA,Los Angeles,921500,90804,33.785666,-118.135699
240,Pasadena,CA,Los Angeles,921500,90805,33.838815000000004,-118.1576
241,Pasadena,CA,Los Angeles,921500,90806,33.795016,-118.172801
242,Pasadena,CA,Los Angeles,921500,90807,33.831466,-118.181102
243,Pasadena,CA,Los Angeles,921500,90808,33.800266,-118.106132
244,Pasadena,CA,Los Angeles,921500,90809,33.786594,-118.29866200000001
245,Pasadena,CA,Los Angeles,921500,90810,33.819266,-118.232453
246,Pasadena,CA,Los Angeles,921500,90813,33.780017,-118.183701
247,Pasadena,CA,Los Angeles,921500,90814,33.771301,-118.14265400000001
248,Pasadena,CA,Los Angeles,921500,90815,33.793516,-118.11461200000001
249,Pasadena,CA,Los Angeles,921500,90822,33.792666,-118.1638
250,Pasadena,CA,Los Angeles,921500,90831,33.767817,-118.199401
251,Pasadena,CA,Los Angeles,921500,90832,33.786594,-118.29866200000001
252,Pasadena,CA,Los Angeles,921500,90833,33.767817,-118.199401
253,Pasadena,CA,Los Angeles,921500,90834,33.767817,-118.199401
254,Pasadena,CA,Los Angeles,921500,90835,33.767817,-118.199401
255,Pasadena,CA,Los Angeles,921500,90840,33.784265999999995,-118.115698
256,Pasadena,CA,Los Angeles,921500,90842,33.786594,-118.29866200000001
